dataset,paper_code,cohort,child_id,age,instrument,input_rate,log_input,units
fmw_2013,FMW2013,tlo,20128,24,LENA,789.8947368,6.671899692026261,adult words / hour
fmw_2013,FMW2013,tlo,20129,19,LENA,2711.464286,7.905244094886979,adult words / hour
fmw_2013,FMW2013,tlo,20129,24,LENA,1844.237288,7.519821076965815,adult words / hour
fmw_2013,FMW2013,tlo,20132,18,LENA,2410.060999,7.78740733695277,adult words / hour
fmw_2013,FMW2013,tlo,20132,24,LENA,1054.69486,6.9610067718469715,adult words / hour
fmw_2013,FMW2013,tlo,20135,18,LENA,2206.231579,7.6990411711849935,adult words / hour
fmw_2013,FMW2013,tlo,20136,19,LENA,1453.203025,7.281525381957873,adult words / hour
fmw_2013,FMW2013,tlo,20136,24,LENA,1525.215901,7.329891253447029,adult words / hour
fmw_2013,FMW2013,tlo,20147,17,LENA,1317.039534,7.1831417195159775,adult words / hour
fmw_2013,FMW2013,tlo,20149,18,LENA,1470.624279,7.293442269213763,adult words / hour
fmw_2013,FMW2013,tlo,20149,24,LENA,1538.212279,7.338376163298152,adult words / hour
fmw_2013,FMW2013,tlo,20157,20,LENA,1076.16871,6.981162522111183,adult words / hour
fmw_2013,FMW2013,tlo,20157,24,LENA,1210.988419,7.0991921803364315,adult words / hour
fmw_2013,FMW2013,tlo,20161,17,LENA,1340.81463,7.201032641064471,adult words / hour
fmw_2013,FMW2013,tlo,20161,23,LENA,1607.393402,7.382369141004734,adult words / hour
fmw_2013,FMW2013,tlo,20162,19,LENA,1990.203092,7.595991968792557,adult words / hour
fmw_2013,FMW2013,tlo,20162,25,LENA,1128.039945,7.028236843665049,adult words / hour
fmw_2013,FMW2013,tlo,20166,19,LENA,825.5615961,6.716063877293635,adult words / hour
fmw_2013,FMW2013,tlo,20166,23,LENA,1345.824363,7.204762013577431,adult words / hour
fmw_2013,FMW2013,tlo,20167,18,LENA,738.3384245,6.60440228927268,adult words / hour
fmw_2013,FMW2013,tlo,20167,24,LENA,1507.708525,7.318346244076773,adult words / hour
fmw_2013,FMW2013,tlo,20169,19,LENA,1144.39034,7.04262732003582,adult words / hour
fmw_2013,FMW2013,tlo,20169,23,LENA,1316.88378,7.183023451835705,adult words / hour
fmw_2013,FMW2013,tlo,20171,17,LENA,3651.283606,8.202834057630836,adult words / hour
fmw_2013,FMW2013,tlo,20176,17,LENA,3001.854545,8.006985558321336,adult words / hour
fmw_2013,FMW2013,tlo,20176,23,LENA,2334.961736,7.755750782816692,adult words / hour
fmw_2013,FMW2013,tlo,20177,17,LENA,1039.337757,6.946339017194563,adult words / hour
fmw_2013,FMW2013,tlo,20177,23,LENA,951.2552766,6.857782456177594,adult words / hour
fmw_2013,FMW2013,tlo,20190,18,LENA,679.310882,6.521078875500715,adult words / hour
fmw_2013,FMW2013,tlo,20190,24,LENA,241.3462057,5.48623244083107,adult words / hour
fmw_2013,FMW2013,tlo,20191,18,LENA,1190.4,7.082044664078827,adult words / hour
fmw_2013,FMW2013,tlo,20191,24,LENA,421.6551724,6.04418785299154,adult words / hour
fmw_2013,FMW2013,tlo,20192,18,LENA,696.1860465,6.545616932803606,adult words / hour
fmw_2013,FMW2013,tlo,20192,24,LENA,924.8223635,6.829601679611027,adult words / hour
fmw_2013,FMW2013,tlo,20196,18,LENA,731.2837757,6.59480158647084,adult words / hour
fmw_2013,FMW2013,tlo,20196,24,LENA,2687.625521,7.896413376833623,adult words / hour
fmw_2013,FMW2013,tlo,20200,18,LENA,1166.793025,7.062014260087457,adult words / hour
fmw_2013,FMW2013,tlo,20200,25,LENA,2101.226243,7.650276378531606,adult words / hour
fmw_2013,FMW2013,tlo,20203,18,LENA,1521.620301,7.3275310335790955,adult words / hour
fmw_2013,FMW2013,tlo,20203,25,LENA,865.1884457,6.762947339505219,adult words / hour
fmw_2013,FMW2013,tlo,20204,18,LENA,1675.246297,7.423715476434482,adult words / hour
fmw_2013,FMW2013,tlo,20204,23,LENA,2163.939449,7.679685658521291,adult words / hour
fmw_2013,FMW2013,tlo,20214,18,LENA,895.0806559,6.796913832538466,adult words / hour
fmw_2013,FMW2013,tlo,20215,17,LENA,1157.945639,7.054402713162303,adult words / hour
fmw_2013,FMW2013,tlo,20219,18,LENA,408.2486204,6.011876352542966,adult words / hour
fmw_2013,FMW2013,tlo,20219,25,LENA,1719.154557,7.449587912335862,adult words / hour
fmw_2013,FMW2013,tlo,20224,18,LENA,2581.297297,7.856047379834451,adult words / hour
fmw_2013,FMW2013,tlo,20224,23,LENA,2185.680092,7.689682314019835,adult words / hour
fmw_2013,FMW2013,tlo,20225,18,LENA,516.7407407,6.24754128006559,adult words / hour
fmw_2013,FMW2013,tlo,20225,25,LENA,835.6585949,6.728220150368943,adult words / hour
fmw_2013,FMW2013,tlo,20226,19,LENA,2545.61194,7.842126348018782,adult words / hour
fmw_2013,FMW2013,tlo,20227,18,LENA,935.7701586,6.841369889272241,adult words / hour
fmw_2013,FMW2013,tlo,20227,25,LENA,1233.29625,7.1174457419446,adult words / hour
fmw_2013,FMW2013,tlo,20228,19,LENA,2264.00503,7.724890661052054,adult words / hour
