word,sc,rng,npts,drop,kappa
mouse,0.12079869802347425,3.9638478560833574,27,5.5395199999999996,3.592753954315491
mouth,0.21649180316918784,3.6926263242907735,27,4.549016000000001,2.0046948366947177
movie,0.012742710429949214,2.0410940775477986,27,3.5431310000000007,34.05868809354477
much,0.3710566697078564,9.062014752785997,27,4.383572,1.1696326610749261
my,0.2749153943930695,2.37739003118494,27,4.103327,1.5786675058999204
myself,0.2946067344658802,4.44169864509507,27,5.54788,1.4731503025103576
need,0.8571167219532833,10.356955924959609,27,5.3512710000000006,0.5063487724413513
new,0.569468197500633,8.199522905655822,27,3.6421319999999993,0.7621145516199217
next,0.1611639288151776,1.215625033163601,27,2.505927,2.6929102758329386
nice,0.09397532951008512,1.828868025360027,27,3.2285329999999997,4.618233341266705
night,0.31538959058300675,3.231194451621766,27,4.047522,1.376075853352479
no,1.604018657583052,10.177367692092162,27,4.010750000000001,0.2705704188341267
none,0.16855041088574704,1.9121370602731584,27,3.805952999999999,2.574897312437818
nose,0.1571917830933482,3.2619240427171237,27,4.438021,2.760958565768476
not,0.360726603231123,10.345637975257644,27,5.987954,1.2031272329585563
now,1.2655465028580597,8.21439660674779,27,3.0043679999999995,0.3429348499007122
nuts,0.18833182456808786,4.175157625672003,27,5.660402,2.304443239985154
of,0.1443647602845363,7.232313709552689,27,7.370375,3.0062738243363962
off,1.115055912822265,9.02001009122722,27,3.7677759999999996,0.3892181504168013
old,0.6115097482162538,3.693785839104865,27,3.235271,0.7097188577385043
on,0.09869576094242823,5.078328292156009,27,5.423722,4.397351982048787
open,0.001,0.6696162727272732,27,1.6219020000000004,434
orange,0.05439858524804094,2.8099087188014353,27,4.307951,7.9781486599530576
other,1.1188269283910517,10.263480417569586,27,4.84282,0.3879062873684325
our,0.994095225400813,9.96273452741214,27,4.725401000000001,0.43657789405940856
out,0.5420783956257605,9.620962540452046,27,4.910013999999999,0.8006222042828366
outside,0.006261534564816999,0.9334621785714292,27,2.323249999999999,69.31208244678662
oven,0.16174517637519675,4.736312127883092,27,6.319521,2.683233031897407
over,1.0227026135887956,8.24417985425271,27,3.2569540000000003,0.42436578750594756
paint,0.10859886499700432,1.8337127299921496,27,3.446556,3.996358525588383
paper,0.1390813589826177,2.6681450982542385,27,3.5907610000000005,3.1204756926069512
park,0.15226007538653516,2.591098040217342,27,4.159271,2.8503860837992203
party,0.14943155235453878,2.907918300410933,27,4.211221999999999,2.9043397673491267
pen,0.0033828675083726278,0.8900778452423737,27,2.090087999999999,128.29352581082352
people,0.7167889180352736,9.698935109374226,27,4.872895,0.6054781108915562
person,1.2013715600847366,7.675505960412843,27,2.640687999999999,0.3612537656288356
pick,0.31614380855854757,0.9535609040264603,27,1.6493269999999995,1.3727929766482405
picture,0.0954562931749374,2.020252805880973,27,2.8776020000000004,4.546583421217002
pig,0.44992086526102726,5.417364949355801,27,5.679912000000001,0.9646140766292521
plant,0.5012780359943677,3.761549251651256,27,4.186179000000001,0.8657869861365247
plate,0.13837215245722273,3.9387328951938567,27,5.248284000000001,3.1364692410502872
play,0.18877312610064387,2.322919808272223,27,3.1384730000000003,2.2990560625065566
please,0.24295451966442946,3.4266397913759024,27,4.343704,1.7863425656762588
pool,0.14041095487224745,3.03000332750272,27,4.665242,3.0909269180234107
poor,0.004676202297630326,0.8507249231000245,27,2.1556299999999995,92.81035600618269
present,0.3043335864330631,1.7950128457783592,27,2.539377,1.4260667220029508
pretty,0.38064783914177214,1.9547869825904716,27,2.378709999999999,1.1401614704513188
pull,0.28494085562355953,1.6552304055764493,27,2.7839370000000008,1.5231231023372975
puppy,0.10639577806839444,3.5672993943380167,27,4.918545999999999,4.079109226693296
push,0.12349976740913254,1.6220979391571628,27,2.701245,3.5141766588291294
put,1.1873889166747034,7.775989989717423,27,2.745412000000001,0.3655078752254334
quiet,0.3278702518088688,2.472122912006789,27,3.976166000000001,1.3236943504499434
radio,0.04937464955856777,1.396872216519343,27,2.893972999999999,8.789935804712762
rain,0.2299536159905346,2.4307837451964964,27,3.424233000000001,1.8873371402773
read,0.08483491075117647,1.2475191646565236,27,2.3369999999999997,5.115818430845481
red,0.13954659018462656,1.9609404594978255,27,3.004697,3.110072409693408
ride,0.1558307056846257,2.0920600111198953,27,3.5359000000000007,2.785073699649032
rock,0.001,1.3599416153846153,27,2.592225,434
roof,0.001,3.055722726190477,27,5.296761999999999,434
room,0.14853516412488438,2.159551653406897,27,3.0894060000000003,2.9218670377278775
run,0.11763589046238408,0.8577990294136972,27,1.4643540000000002,3.6893502339643383
salt,0.05851278655886181,2.3754531282857725,27,3.6588759999999994,7.417182218170574
same,0.9603580128684338,8.848681457305965,27,3.8919630000000005,0.45191480071448803
sauce,0.06787536683088033,4.280824870121083,27,6.248246,6.394072257191087
say,0.34954045144773993,2.9071652498123584,27,3.7146749999999997,1.2416302553894472
school,0.3379470683425715,3.0584980058778326,27,3.646535,1.2842247814976195
see,0.9172339363005423,9.54619027198123,27,4.490941000000001,0.4731617342359157
share,0.24120340642452276,1.7072591238792443,27,2.395593,1.799311238731643
she,0.4311477814137746,4.236568012074341,27,4.676386999999999,1.0066154082409347
shopping,0.12998649375354965,3.04712554441468,27,4.359921,3.3388084213029896
show,1.6537288159949308,7.623462712832933,27,2.3806130000000003,0.2624372241702114
shower,0.13615844863050106,3.282075339615014,27,5.761625,3.1874628740649373
sick,0.014575023496086399,2.1386530461293356,27,3.4305709999999996,29.776967434497458
sing,0.001,1.6226578452380949,27,3.281586000000001,434
sit,0.4157107173046707,2.8924715823828704,27,3.8687890000000005,1.0439952157450039
sky,0.12539505279303065,2.0382151650898477,27,3.2227170000000003,3.4610615836362673
sleep,0.15473082843450112,4.2387081083671525,27,5.411461999999999,2.8048709128686395
slow,0.17905240555791915,2.013619100229687,27,2.987201999999999,2.423871372449176
snow,0.1763467788884431,1.720250204980113,27,2.6233940000000002,2.461059979295387
so,0.7593300589064784,8.540432453008204,27,3.7382469999999994,0.5715564594203071
soap,0.13230524001760594,5.062263073580533,27,6.557558,3.2802933575589854
soda,0.23004111047849837,4.062399208989892,27,4.820572,1.8866193051200968
soft,0.2445750889220598,1.2933418940336878,27,2.4872450000000006,1.7745061523346939
some,0.48922023347708476,9.179970238400557,27,4.794956000000001,0.8871260228044691
