word,sc,mid,rng,kappa,count,total_tokens,logfreq
cake,0.271804026131101,1.6080006937778248,4.456936769069032,1.5967386729976765,8173,378750562,3.9123814989188004
call,0.26044753905941087,1.4920151249138445,1.2851936772925185,1.6663624527509933,47706,378750562,4.6785730038413815
camera,0.08589195998024295,1.5133664096252244,3.0781077359482936,5.052859430612942,30713,378750562,4.487322239751821
can,0.4026376358647418,0.022500060107221442,10.578563855457098,1.0778922816489855,1500918,378750562,6.1763569659805775
car,0.15482621219111029,1.5872471536721071,2.7935966773340697,2.8031429165514337,140715,378750562,5.148340395018277
careful,0.4044847260797295,1.3073490255978446,3.8307457335820967,1.0729700579953485,13069,378750562,4.116242357963335
carry,0.12861394990455055,1.6569701276179147,1.1847955978809965,3.3744395559120015,21995,378750562,4.342323966312882
cat,0.4979239473037112,1.0010789486196436,2.577771435208133,0.8716190541751139,75729,378750562,4.87926222201213
catch,0.23436473070171596,1.4998779177272525,1.1445141873966724,1.8518144718300924,15103,378750562,4.17906322239498
chair,0.190156764344385,1.7184106950528362,5.203427826615757,2.282327433874509,7552,378750562,3.8780619812900126
cheese,0.2921039312472528,1.5300439085589752,5.2698054667769165,1.4857725404340367,15880,378750562,4.200850498091078
chicken,0.2288897121803851,1.4628433872634707,3.0724246049507657,1.896109684728731,20090,378750562,4.302979936748249
child,1.1393713787103092,-0.3771793270607837,9.820377319816581,0.38091179760128646,67738,378750562,4.830832369725404
chocolate,0.21009934359387805,1.5296117764590587,3.5150280367371796,2.0656894618334545,14266,378750562,4.154302219684665
clean,0.36495082953137176,1.313194471463045,2.8691029710985454,1.1892012974934,63204,378750562,4.800744564405106
clock,0.020033924645778082,1.9195438337310686,1.950102568541765,21.66325408893162,10900,378750562,4.037426497940624
close,0.6384164153916113,0.994385501547116,2.4258227661516827,0.6798070812978388,42868,378750562,4.63213322204048
cloud,0.15779562733673796,1.5821834939365191,1.6061701979132366,2.7503930706130295,11346,378750562,4.054842779228683
coat,0.22215602414006883,1.5363673731602456,4.086552575479715,1.953581955204438,15916,378750562,4.201833930474351
coffee,0.12144631921022263,1.7090608085073111,2.791855010043893,3.573595336790318,15648,378750562,4.194458837443526
cold,0.1664448224043587,1.5656675918691854,2.809461410412018,2.607470714502891,44011,378750562,4.643561236537222
comb,0.16741414867695467,1.3760717894301124,1.075637057745551,2.5923734847372675,28833,378750562,4.459889831970674
cook,0.08329049507300894,1.6099046463816156,2.613794438299294,5.210678596874396,28632,378750562,4.456851685381948
corn,0.11572301188630471,1.6690239632837183,3.1469131221269,3.7503344661163447,12744,378750562,4.105305762793075
could,0.9358925104543357,-0.5871903608287851,9.117620062411127,0.46372846790846906,202111,378750562,5.305589950869567
country,0.03417221881364726,1.5540612746655258,1.4391370477386474,12.700375189763056,39606,378750562,4.597760983135228
cover,0.5454627295944,2.1296147000661496,2.6642564359112875,0.795654728459115,35090,378750562,4.545183368215406
cow,0.3991791010693569,1.5116964494755962,2.2781087845351333,1.0872312674620535,8547,378750562,3.9318137039591394
cry,0.08686927146708938,1.8484191499800078,2.787916927814792,4.996012890063454,11337,378750562,4.054498146636677
cup,0.17564895673370434,1.3741603480560216,3.598632092963066,2.4708373341378467,16687,378750562,4.222378265944956
cut,0.428211868066042,1.2645962942676097,1.394680204628549,1.0135169815822698,52236,378750562,4.717969913205023
dark,0.07440363617312014,1.5258952649606685,1.064582974739742,5.833048253047497,36821,378750562,4.566095579077949
day,0.8137561309825544,-0.2511247477637004,9.384133934511723,0.5333293151057122,132798,378750562,5.1231915344032
deer,0.10021787507975893,1.6469704351941847,2.5239810349675436,4.330564778534755,8857,378750562,3.9472866446777983
did,1.0065900582327945,0.7281465937258549,6.240902019601149,0.4311586394583967,86283,378750562,4.93592523681061
dish,0.20603076220411143,1.5256862605756958,2.999279468408173,2.1064815533228143,19908,378750562,4.299027632071986
do,0.41648722703464675,-0.08413638465275611,9.396233807681355,1.042048763632063,415646,378750562,5.618723605392979
doctor,0.4716326994232739,1.4461806545844464,4.355540370909746,0.9202076118358794,23403,378750562,4.369271532621027
does,0.8527348309158088,-0.1236363515671139,10.089338299133768,0.5089507127718689,176939,378750562,5.24782356845534
dog,0.7533299156192017,-0.20628750329072726,9.180063790621812,0.5761088083741802,107886,378750562,5.032965091418517
doll,0.11740240251120534,1.7168706318048512,2.8308877878862306,3.6966875525275333,5328,378750562,3.7265642161622448
door,0.21319003800147096,1.6930031566751536,2.9203622035723873,2.0357424017955545,20707,378750562,4.316117183498905
down,1.0105863267405562,-0.10046803957286334,10.185957568796558,0.429453663201421,141628,378750562,5.151149122304086
draw,0.3144190447510876,1.493943637385351,2.9818316629850834,1.380323511712147,34376,378750562,4.536255340675846
